SOURCE,TARGET,RATING,TIME
1,199,1,1301976000
250,7549,1,1301976000
400,22,2,1301976000
606,22,2,1301976000
709,768,1,1301976000
709,15,1,1301976000
1,2445,1,1301976000
845,0,1,1301976000
250,44,1,1301976000
250,151,5,1301976000
15,709,1,1301976000
353,250,3,1301976000
0,845,1,1301976000
2445,1,1,1301976000
15,606,1,1301976000
151,250,5,1301976000
250,353,3,1301976000
22,843,5,1301976000
7549,250,1,1301976000
530,418,1,1302062400
199,606,2,1302062400
418,530,1,1302062400
199,846,1,1302062400
0,1605,2,1302062400
62,223,1,1302062400
22,606,4,1302062400
846,22,3,1302062400
223,62,1,1302062400
846,199,1,1302062400
22,502,1,1302062400
22,846,3,1302062400
379,118,1,1302062400
1605,0,2,1302062400
606,199,2,1302062400
22,436,5,1302148800
3479,711,1,1302148800
22,2446,1,1302148800
436,22,6,1302148800
2446,22,1,1302148800
500,22,4,1302235200
22,500,2,1302235200
43,500,3,1302235200
986,1,1,1302235200
502,15,5,1302235200
148,418,1,1302235200
502,199,1,1302235200
98,502,2,1302235200
502,98,2,1302235200
418,148,1,1302235200
530,3,3,1302235200
502,1,5,1302235200
1,502,2,1302235200
502,22,5,1302235200
2442,22,1,1302235200
22,2442,1,1302235200
22,128,10,1302235200
199,502,1,1302235200
1,986,1,1302235200
843,850,1,1302235200
500,43,3,1302235200
222,3,5,1302235200
3,222,4,1302235200
112,1606,1,1302321600
44,352,1,1302321600
1606,112,1,1302321600
1915,1606,2,1302321600
1606,1915,1,1302321600
1,503,1,1302408000
1,7400,1,1302408000
3,7400,4,1302408000
503,1,1,1302408000
15,770,2,1302494400
73,1604,2,1302494400
606,768,1,1302494400
840,908,1,1302494400
606,130,1,1302494400
908,840,1,1302494400
770,15,2,1302494400
148,710,1,1302494400
62,654,2,1302580800
236,39,1,1302580800
235,151,1,1302580800
15,236,1,1302580800
236,655,1,1302580800
501,112,3,1302580800
769,22,4,1302580800
39,236,1,1302580800
2447,0,1,1302580800
654,62,2,1302580800
22,842,4,1302580800
22,769,4,1302580800
62,844,1,1302580800
772,654,1,1302580800
151,235,1,1302580800
112,501,3,1302580800
654,772,1,1302580800
844,62,1,1302580800
655,236,1,1302580800
235,22,5,1302580800
0,2447,1,1302580800
236,15,1,1302580800
22,772,1,1302667200
15,137,1,1302667200
105,310,2,1302667200
105,654,1,1302667200
44,3,3,1302667200
710,3,1,1302667200
1,531,1,1302667200
310,105,1,1302667200
1920,1,4,1302667200
223,233,1,1302667200
654,105,1,1302667200
73,1401,1,1302753600
654,365,1,1302753600
365,654,1,1302753600
22,503,2,1302753600
22,166,2,1302753600
3,436,4,1302753600
1921,1,1,1302753600
503,22,2,1302753600
1,1921,1,1302753600
22,292,4,1302753600
137,15,2,1302753600
15,710,4,1302753600
772,3,1,1302840000
352,118,5,1302840000
1080,149,1,1302840000
236,148,1,1302840000
1,236,1,1302840000
108,511,5,1302840000
1218,236,1,1302840000
654,418,1,1302840000
22,1081,2,1302840000
15,654,4,1302840000
148,236,1,1302840000
208,1,1,1302840000
236,1218,1,1302840000
233,223,1,1302840000
1081,22,8,1302840000
108,710,1,1302840000
352,44,5,1302840000
1,208,1,1302840000
712,22,3,1302840000
654,44,1,1302840000
3,772,1,1302840000
654,15,4,1302840000
22,712,3,1302840000
352,531,1,1302840000
418,654,1,1302840000
236,1,2,1302840000
149,1080,1,1302840000
166,22,3,1302840000
236,166,1,1302840000
15,469,3,1302926400
71,2448,1,1302926400
469,15,3,1302926400
655,208,1,1302926400
3,770,2,1302926400
418,989,1,1302926400
214,321,10,1302926400
98,418,1,1302926400
148,2450,1,1302926400
989,418,1,1302926400
418,98,1,1302926400
3,847,1,1302926400
2450,148,1,1302926400
15,1916,1,1302926400
15,1082,1,1302926400
1916,15,1,1302926400
1082,15,1,1302926400
128,769,4,1303012800
499,108,1,1303012800
144,1610,1,1303012800
128,655,5,1303012800
108,499,1,1303012800
2449,199,1,1303012800
118,22,5,1303012800
499,22,5,1303012800
128,43,5,1303012800
2452,62,1,1303012800
128,22,5,1303012800
499,105,1,1303012800
3,2453,1,1303012800
199,2449,1,1303012800
321,214,10,1303012800
105,499,1,1303012800
504,352,2,1303012800
62,2452,1,1303012800
269,15,1,1303012800
15,269,2,1303012800
907,151,1,1303012800
151,907,1,1303012800
1077,43,1,1303012800
499,128,4,1303012800
352,504,2,1303012800
1609,15,1,1303012800
36,989,2,1303099200
1,419,1,1303099200
989,36,2,1303099200
44,223,1,1303099200
844,990,1,1303099200
137,435,2,1303099200
990,844,1,1303099200
223,44,1,1303099200
1401,438,1,1303099200
208,168,2,1303099200
15,1609,1,1303099200
168,208,2,1303099200
2453,3,1,1303099200
7549,1610,1,1303099200
1610,7549,1,1303099200
44,992,1,1303185600
98,20,1,1303185600
1612,22,3,1303185600
297,22,3,1303185600
3,771,1,1303185600
22,1612,2,1303185600
15,1921,1,1303185600
20,98,1,1303185600
504,992,1,1303185600
2455,144,1,1303185600
1921,15,1,1303185600
992,44,1,1303185600
1612,440,1,1303185600
440,1612,1,1303185600
128,98,5,1303185600
98,2454,1,1303185600
3,144,2,1303185600
365,3,2,1303185600
144,2455,1,1303185600
3,365,2,1303185600
992,504,1,1303185600
771,3,1,1303185600
167,771,1,1303185600
321,118,1,1303272000
1926,418,1,1303272000
1,773,1,1303272000
989,2457,1,1303272000
989,2456,1,1303272000
2457,989,1,1303272000
2456,989,1,1303272000
989,108,1,1303272000
108,989,1,1303272000
773,1,1,1303272000
418,1926,1,1303272000
844,22,2,1303272000
22,844,2,1303272000
3,235,2,1303358400
83,22,2,1303358400
128,208,5,1303358400
7549,208,1,1303358400
98,83,1,1303358400
401,233,1,1303358400
208,98,2,1303358400
98,208,2,1303358400
71,98,1,1303358400
22,468,7,1303358400
98,71,1,1303358400
15,418,3,1303358400
128,1081,4,1303358400
208,7549,1,1303358400
233,401,1,1303358400
7581,989,1,1303358400
418,15,3,1303358400
83,98,1,1303358400
562,7549,2,1303358400
7549,562,2,1303358400
105,271,1,1303358400
271,105,1,1303358400
22,563,4,1303444800
7549,15,2,1303444800
20,234,1,1303444800
563,1,1,1303444800
2458,1,1,1303444800
1,563,1,1303444800
418,166,2,1303444800
15,7549,2,1303444800
1,2458,1,1303444800
166,418,2,1303444800
563,22,2,1303444800
438,1401,1,1303444800
128,1084,4,1303531200
296,1914,1,1303531200
234,7551,3,1303531200
771,167,2,1303531200
3,1084,2,1303531200
118,234,8,1303531200
296,7436,1,1303531200
3,223,1,1303531200
39,1213,2,1303531200
234,118,8,1303531200
563,654,1,1303531200
1084,128,4,1303531200
22,15,3,1303531200
234,20,1,1303531200
208,1086,1,1303531200
128,1218,4,1303617600
400,3,1,1303617600
2464,3,1,1303617600
7551,20,1,1303617600
3,1086,1,1303617600
1927,208,1,1303617600
1208,378,3,1303617600
563,7551,1,1303617600
1221,62,1,1303617600
7551,563,1,1303617600
1927,44,1,1303617600
15,533,1,1303617600
62,1221,1,1303617600
1084,3,4,1303617600
770,3,4,1303617600
1403,44,1,1303617600
223,2463,1,1303617600
2463,223,1,1303617600
7551,847,1,1303617600
15,7551,4,1303617600
321,656,1,1303617600
847,7551,1,1303617600
656,321,1,1303617600
7551,15,2,1303617600
20,7551,1,1303617600
352,3,2,1303617600
657,22,1,1303617600
3,2464,1,1303617600
297,654,1,1303617600
533,15,1,1303617600
44,1403,1,1303617600
1914,296,10,1303617600
3,400,1,1303617600
654,297,1,1303617600
7551,714,1,1303617600
1220,296,1,1303617600
3,352,1,1303617600
296,1220,1,1303617600
1086,3,1,1303617600
44,1927,1,1303617600
562,98,1,1303704000
437,438,1,1303704000
1914,144,1,1303704000
3,419,4,1303704000
128,1214,5,1303704000
15,564,3,1303704000
98,658,1,1303704000
98,3515,1,1303704000
98,562,1,1303704000
533,2459,1,1303704000
658,98,1,1303704000
564,208,2,1303704000
1087,564,1,1303704000
1077,352,1,1303704000
564,1087,1,1303704000
128,1607,3,1303704000
208,564,2,1303704000
30,3,8,1303704000
1924,15,2,1303704000
15,1924,2,1303704000
419,3,5,1303704000
1087,251,1,1303704000
2459,533,1,1303704000
208,2465,1,1303704000
2465,208,1,1303704000
564,15,3,1303704000
437,352,1,1303790400
3,36,4,1303790400
223,2461,1,1303790400
128,1608,3,1303790400
174,235,2,1303790400
0,502,1,1303790400
128,214,3,1303790400
435,7436,-10,1303790400
1221,7549,1,1303790400
22,439,1,1303790400
251,1087,1,1303790400
564,62,1,1303790400
15,297,1,1303790400
235,174,2,1303790400
1610,7551,3,1303790400
352,437,1,1303790400
2461,223,5,1303790400
128,501,6,1303790400
7551,1610,3,1303790400
439,22,6,1303790400
22,118,1,1303790400
297,15,1,1303790400
502,0,1,1303790400
62,564,1,1303790400
41,174,2,1303876800
2468,144,1,1303876800
15,502,2,1303876800
1221,15,1,1303876800
847,236,1,1303876800
41,108,1,1303876800
2467,3,1,1303876800
44,41,1,1303876800
7581,3,5,1303876800
15,1089,1,1303876800
15,3,5,1303876800
1925,36,1,1303876800
1089,15,1,1303876800
39,1223,2,1303876800
108,41,1,1303876800
15,1221,1,1303876800
3,15,4,1303876800
174,41,2,1303876800
236,847,1,1303876800
3,2467,1,1303876800
144,2468,1,1303876800
20,1,1,1303876800
504,234,2,1303963200
1408,1,2,1303963200
144,149,1,1303963200
3,2466,1,1303963200
442,128,3,1303963200
7549,1221,1,1303963200
442,22,3,1303963200
223,2470,1,1303963200
3,269,3,1303963200
20,41,1,1303963200
2466,3,1,1303963200
41,20,1,1303963200
15,36,7,1303963200
1082,1926,1,1303963200
128,606,5,1303963200
251,128,1,1303963200
1221,1,1,1303963200
149,144,1,1303963200
22,771,3,1303963200
847,3,2,1303963200
352,442,1,1303963200
1,1408,2,1303963200
1219,22,3,1303963200
1408,15,1,1303963200
15,1408,1,1303963200
108,1929,1,1303963200
847,996,3,1303963200
1,1221,1,1303963200
2470,223,1,1303963200
771,22,3,1303963200
128,442,5,1303963200
128,118,5,1303963200
167,995,2,1304049600
1089,1,1,1304049600
223,2471,1,1304049600
400,1610,1,1304049600
2471,223,1,1304049600
7551,223,1,1304049600
1,1089,1,1304049600
1089,2469,1,1304049600
15,1090,3,1304049600
1090,15,3,1304049600
2469,1089,1,1304049600
128,168,4,1304049600
714,7551,2,1304049600
716,39,1,1304049600
769,39,1,1304049600
39,128,2,1304049600
440,90,3,1304049600
39,769,1,1304049600
39,716,1,1304049600
1610,419,5,1304049600
223,7551,1,1304049600
151,167,2,1304049600
99,15,4,1304049600
90,440,3,1304049600
15,99,3,1304049600
167,151,2,1304049600
1090,3,3,1304049600
716,128,5,1304049600
167,3,4,1304049600
3,465,3,1304049600
98,7551,2,1304136000
166,236,2,1304136000
107,354,1,1304136000
22,847,1,1304136000
15,249,1,1304136000
7551,98,1,1304136000
354,107,1,1304136000
15,1092,1,1304136000
1929,108,1,1304136000
1092,15,1,1304136000
249,15,1,1304136000
533,2473,1,1304136000
716,1412,1,1304136000
62,717,1,1304136000
1929,251,1,1304136000
251,1929,1,1304136000
112,352,4,1304136000
352,112,2,1304136000
1412,716,1,1304136000
1219,128,4,1304136000
352,995,2,1304136000
715,1605,1,1304136000
271,2475,1,1304136000
993,0,1,1304136000
847,22,1,1304136000
996,847,3,1304136000
39,605,1,1304136000
128,321,4,1304136000
249,714,1,1304136000
714,249,1,1304136000
2475,271,1,1304136000
2473,533,1,1304136000
1605,715,1,1304136000
717,62,1,1304136000
292,472,1,1304222400
3515,534,1,1304222400
269,471,1,1304222400
36,15,8,1304222400
2479,471,1,1304222400
910,565,1,1304222400
269,1931,1,1304222400
381,251,1,1304222400
36,311,6,1304222400
3,1087,2,1304222400
1412,562,1,1304222400
562,1412,1,1304222400
128,1227,5,1304222400
535,3515,1,1304222400
506,608,1,1304222400
534,3515,1,1304222400
30,565,1,1304222400
3515,535,1,1304222400
565,910,1,1304222400
269,3,3,1304222400
310,1095,1,1304222400
41,839,1,1304222400
41,608,1,1304222400
1094,1082,1,1304222400
250,2481,1,1304222400
1219,715,1,1304222400
560,36,2,1304222400
608,41,1,1304222400
105,251,2,1304222400
715,1219,1,1304222400
2477,716,1,1304222400
839,41,1,1304222400
1082,1094,1,1304222400
200,505,10,1304222400
716,2477,1,1304222400
3,534,1,1304222400
3,138,1,1304222400
1088,310,1,1304222400
1227,128,5,1304222400
1931,269,1,1304222400
471,269,1,1304222400
2481,250,1,1304222400
608,506,1,1304222400
1223,235,2,1304222400
608,1088,1,1304222400
200,534,1,1304222400
565,30,1,1304222400
222,909,1,1304222400
222,1412,1,1304222400
534,223,1,1304222400
235,1213,2,1304222400
62,1082,1,1304222400
3515,15,1,1304222400
310,1088,1,1304222400
223,534,1,1304222400
1225,2476,1,1304222400
565,137,2,1304222400
251,105,1,1304222400
137,565,2,1304222400
1087,3,1,1304222400
1223,3515,2,1304222400
534,506,2,1304222400
534,3,1,1304222400
1088,608,1,1304222400
380,3,10,1304222400
251,381,1,1304222400
128,997,5,1304222400
1412,222,1,1304222400
506,534,2,1304222400
36,560,2,1304222400
909,222,1,1304222400
471,2479,1,1304222400
1095,310,1,1304222400
128,1226,5,1304222400
472,292,1,1304222400
534,200,1,1304222400
1082,62,1,1304222400
250,380,3,1304308800
657,465,1,1304308800
534,421,1,1304308800
465,657,1,1304308800
128,1415,4,1304308800
1617,41,1,1304308800
1,237,1,1304308800
83,774,1,1304308800
3,322,2,1304308800
83,53,8,1304308800
128,1920,4,1304308800
83,380,3,1304308800
535,7370,1,1304308800
352,1915,1,1304308800
1610,3,2,1304308800
322,3,2,1304308800
774,997,1,1304308800
7568,3,1,1304308800
36,53,6,1304308800
997,774,1,1304308800
565,506,3,1304308800
44,532,1,1304308800
44,1932,1,1304308800
506,565,3,1304308800
1,354,1,1304308800
1915,352,1,1304308800
83,1618,1,1304308800
1215,128,4,1304308800
7370,535,1,1304308800
1,381,1,1304308800
7568,83,2,1304308800
1913,7326,1,1304308800
1617,563,1,1304308800
1089,43,2,1304308800
62,1094,1,1304308800
563,1617,1,1304308800
149,1097,1,1304308800
774,440,3,1304308800
15,3515,2,1304308800
472,997,1,1304308800
322,43,2,1304308800
997,472,1,1304308800
53,83,5,1304308800
128,193,5,1304308800
7568,605,10,1304308800
774,83,1,1304308800
3,1229,4,1304308800
657,7568,1,1304308800
43,1089,3,1304308800
1618,83,1,1304308800
437,504,1,1304308800
440,774,3,1304308800
354,1,1,1304308800
380,250,3,1304308800
83,137,5,1304308800
532,44,1,1304308800
128,716,6,1304308800
1094,62,1,1304308800
151,44,2,1304308800
380,83,3,1304308800
1415,22,5,1304308800
381,1,1,1304308800
41,1617,1,1304308800
7568,657,3,1304308800
43,322,2,1304308800
1229,3,5,1304308800
128,439,6,1304308800
504,437,1,1304308800
421,534,2,1304308800
1097,149,1,1304308800
214,1093,1,1304395200
991,528,1,1304395200
528,991,1,1304395200
608,1092,1,1304395200
